family_id,family_definition,representative_document,representative_publication,applications,grants,earliest_priority,publication_date,applicant_or_assignee,applicant,inventors,jurisdictions,claim_categories,claim_theme,key_claim_elements,mutation_or_biomarker,official_status,status_as_of,status_source,status_confidence,confidence,source_url,notes
P53-FAM-011,Jacobio mutant p53-targeting compounds (Y220C),WO2023016434A1,WO2023016434A1,PCT/CN2022/110588;US18/680495;CN117500790A,,2021-08-10,2023-02-16,"Jacobio Pharmaceuticals Co., Ltd.","Jacobio Pharmaceuticals Co., Ltd.",Sujing LI,WO;US;EP;CN;JP;KR;AU,compound;composition;indication,突变 p53 靶向化合物（Y220C，加科思）,"small-molecule reactivators targeting mutant p53 (e.g. Y220C) distinct from PC14586; compound, composition, method of treating p53-mutant cancer",TP53-Y220C,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2023016434A1/en,加科思(Jacobio) p53-Y220C 系列；TW202435861A 为同族台湾成员。
P53-FAM-012,COTI-2 p53-reactivating compound (Critical Outcome Technologies),US9284275B2,US9284275B2,PCT/CA2008/000069;WO2008101311A1;US12/524183;EP2121644A1;CN101687846A,US9284275B2;EP2121644B1,2007-01-11,2016-03-15,Critical Outcome Technologies Inc.,Critical Outcome Technologies Inc.,,WO;US;EP;CN;JP;KR;AU,compound;composition;indication,突变 p53 再激活（COTI-2）,COTI-2 thiosemicarbazone/pyrimidine-based compound reactivating mutant p53 and treating cancer,TP53-mutant; broad mutant reactivation,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US9284275B2/en,COTI-2 为广谱突变 p53 再激活候选；US8420643B2 为同族另一授权成员。
P53-FAM-013,Aileron stabilized p53 peptides (MDM2-p53/MDMX-p53 interface),US10202431B2,US10202431B2,PCT/US2008/052684;WO2008095000A2;US12/525859;EP2120997A2;CN101687903A,US10202431B2;EP2120997B1,2007-01-31,2019-02-12,"Aileron Therapeutics, Inc.","Aileron Therapeutics, Inc.",,WO;US;EP;CN;JP;KR;AU,compound;peptide;composition;indication,稳定 p53 肽（MDM2/MDMX-p53 界面）,stabilized (stapled) p53 peptide targeting MDM2/MDMX-p53 interface; composition and method of restoring p53 activity,p53 pathway activation,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US10202431B2/en,Aileron 稳定 p53 肽为蛋白-蛋白界面方向的生物大分子代表。
P53-FAM-014,Canji/Schering recombinant adenoviral p53 gene therapy (Ad-p53),US7041284B2,US7041284B2,PCT/US1994/012284;WO1995012679A1;US08/338827;EP0723506B1;CN1137907A,US7041284B2;EP0723506B1,1993-10-25,2006-05-09,"Canji, Inc. (Schering)","Canji, Inc. (Schering)",Richard J. Gregory,WO;US;EP;CN;JP;KR;RU,gene therapy;vector;composition;indication,p53 基因治疗（腺病毒载体，Canji/SCH-58500）,recombinant adenoviral vector expressing p53 under CMV promoter; method of suppressing tumor growth and treating p53-deficient tumors,p53-deficient tumor; p53 restoration,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US7041284B2/en,Canji Ad-p53/SCH-58500 为 p53 基因治疗经典；优先权 1993，多个国家授权，多数已进入或接近期限末。
P53-FAM-015,Multivir p53 biomarkers and tumor suppressor gene therapy,US9746471B2,US9746471B2,PCT/US2009/032029;WO2009094623A1;US12/864330;EP2257301A1;CN101998843A,US9746471B2;EP2257301B1,2008-01-25,2017-08-29,Multivir Inc.,Multivir Inc.,,WO;US;EP;CN;JP;KR;AU,biomarker;diagnostic;indication;gene therapy,p53 生物标志物与基因治疗（Multivir）,p53 biomarker profile predicting response to p53 gene therapy in hyperproliferative disease; method of patient selection and treatment,p53 biomarker profile; response prediction,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US9746471B2/en,Multivir p53 生物标志物族为伴随诊断/患者分层方向的代表。
P53-FAM-016,Gendicine Ad5CMV-p53 gene therapy (Shenzhen SiBiono),CN101274096B,CN101274096B,CN200710176394.5;CN101274096A;US20090117147A1,CN101274096B,2007-10-26,2012-07-25,"Shenzhen SiBiono GeneTech Co., Ltd.","Shenzhen SiBiono GeneTech Co., Ltd. (深圳赛百诺)",,CN;US;WO,gene therapy;vector;composition;indication,p53 基因治疗（Gendicine/今又生 Ad5CMV-p53）,Ad5CMV-p53 (Gendicine/今又生) recombinant adenovirus expressing human wild-type p53; pharmaceutical composition and method of treating cancer,p53 restoration; head and neck cancer,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror; 领域知识,low,low,https://patents.google.com/patent/CN101274096B/en,Gendicine 为全球首个获批的 p53 基因治疗产品(中国2003)；核心族 CN101274096B 依据公开检索与领域知识，需 CNIPA 官方系统补检确认。
P53-FAM-017,oncolytic p53 adenoviruses (E1A/E1B mutants; UT/UC and Hangzhou Converd),US10080774B2,US10080774B2,PCT/US2003/012127;WO2003099327A2;US10/512631;EP1501525A2;CN1655818A,US10080774B2;EP1501525B1,2002-04-17,2018-09-25,"Board of Regents, The University of Texas System","Board of Regents, The University of Texas System",,WO;US;EP;CN;JP;KR;AU,gene therapy;vector;combination;indication,溶瘤腺病毒 p53（E1A/E1B 突变体）,oncolytic adenovirus armed with therapeutic genes (including p53); selective replication and tumor killing; combination with chemotherapy,p53 restoration; tumor-selective lysis,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US10080774B2/en,UT/UC 溶瘤腺病毒(E1A/E1B 突变)代表；杭州康万达(Convero)US11786552B2/US20240100106A1 为新一代溶瘤 p53 方向。
P53-FAM-018,Arvinas MDM2-based PROTAC (p53/MDM2 degradation),US20220127279A1,US20220127279A1,PCT/US2016/041474;WO2017011680A1;US15/742127;EP3319600A1;CN107835800A,,2015-07-10,2022-04-28,"Arvinas Operations, Inc.","Arvinas Operations, Inc.",,WO;US;EP;CN;JP;KR;AU,compound;degrader;composition;indication,"MDM2 靶向蛋白降解（PROTAC, Arvinas）",MDM2-based bifunctional PROTAC (MDM2-binding ligand + E3 ligase ligand) for selective degradation of MDM2/p53-pathway proteins; composition and method of treating cancer,p53 pathway protein degradation,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US20220127279A1/en,Arvinas MDM2-PROTAC 系列；US12577255B2 为后续授权成员。
P53-FAM-019,University of Michigan MDM2 protein degraders (MDM2-p53 axis),WO2017176957A1,WO2017176957A1,PCT/US2017/026020;US16/092347;US20190211053A1,,2016-04-06,2017-10-12,The Regents of the University of Michigan,The Regents of the University of Michigan,,WO;US;EP;CN;JP;KR;AU,compound;degrader;composition;indication,"MDM2 蛋白降解剂（Michigan, PROTAC 方向）",MDM2 protein degraders (PROTAC-like) and related monofunctional intermediates for ligand-dependent degradation; cancer treatment,p53 pathway protein degradation,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2017176957A1/en,密歇根大学 MDM2 降解剂与 WO2017176958A1 中间体族互补。
P53-FAM-020,p53 cancer vaccine / immunogen (Neovacs),US8101165B2,US8101165B2,PCT/EP2001/009145;WO2002013854A1;US10/344154;EP1307196A1;CN1444474A,US8101165B2;EP1307196B1,2000-08-09,2012-01-24,Neovacs,Neovacs,,WO;US;EP;CN;JP;KR;AU,vaccine;immunogen;composition;indication,p53 癌症疫苗/免疫原（Neovacs）,p53-derived immunogen/peptide vaccine for treating or preventing p53-expressing malignant tumors; immune response induction,p53-expressing tumor; immunogenic p53 epitope,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/US8101165B2/en,Neovacs p53 免疫原方向为疫苗类代表；p53 疫苗整体为概览边界方向。
P53-FAM-021,C4 Therapeutics MDM2-relevant degronimers/degraders,WO2017197046A1,WO2017197046A1,PCT/US2017/031379;US16/099275;EP3455250A1;CN109195948A,,2016-05-10,2017-11-16,"C4 Therapeutics, Inc.","C4 Therapeutics, Inc.",,WO;US;EP;CN;JP;KR;AU,compound;degrader;composition;indication,"靶向蛋白降解（C4 Therapeutics, 含 MDM2 方向）",targeted protein degradation (degronimer) chemistry including MDM2/p53 pathway targets; composition and method of treating cancer,p53 pathway protein degradation,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2017197046A1/en,C4 Therapeutics 降解技术族，p53 方向为其中一个应用方向。
P53-FAM-022,p53-Y220C reactivator China follow-on (Changchun Genescience),CN117986235A,CN117986235A,CN202311476196.1,,2022-11-04,2024-05-07,"Changchun Genescience Pharmaceutical Co., Ltd.","Changchun Genescience Pharmaceutical Co., Ltd. (长春金赛药业)",陆标;金磊;杨方龙;李阿敏;潘建峰;王思勤;王燕萍;耿开骏,CN;WO,compound;composition;indication,"突变 p53 再激活中国跟进（p53-Y220C, 长春金赛）",p53-Y220C selective small-molecule reactivator; pharmaceutical composition and use in treating p53-Y220C mutant cancer,TP53-Y220C,"CN application (公开), 审查中",2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/CN117986235A/en,金赛药业 p53-Y220C 系列为国内跟进方向代表，属审查中公开申请。
P53-FAM-023,Otsuka MDM2 antagonist biomarkers (navtemadlin companion),US20230338337A1,US20230338337A1,PCT/US2020/066870;WO2021133772A1;US17/781290;CN116472049A,,2019-12-23,2023-10-26,"Otsuka Pharmaceutical Co., Ltd.","Otsuka Pharmaceutical Co., Ltd.",,WO;US;EP;CN;JP;KR;AU,biomarker;diagnostic;indication;regimen,MDM2 拮抗剂伴随诊断生物标志物（大冢制药）,biomarkers for cancer therapy using MDM2 antagonists (navtemadlin); patient selection and treatment method,TP53 status biomarker; patient selection,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2021133772A1/en,Otsuka navtemadlin 伴随诊断生物标志物族。
P53-FAM-024,Genentech/Roche hydroxypyrrolidine MDM2 antagonists,WO2019084026A1,WO2019084026A1,PCT/US2018/057094;US16/754688;CN111406046A,,2017-10-24,2019-05-02,"Genentech, Inc.","Genentech, Inc.",,WO;US;EP;CN;JP;KR;AU,compound;composition;indication,MDM2 拮抗剂（Genentech 4-羟吡咯烷类）,(4-hydroxypyrrolidin-2-yl)-heterocyclic MDM2 antagonists; composition and method of treating cancer,wild-type p53; MDM2 amplification,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2019084026A1/en,Genentech 新一代 MDM2 骨架(4-羟吡咯烷)代表；WO2019084030A1 羟肟酸类为同方向相邻族。
P53-FAM-025,Multivir p53 combination immunotherapy (CD8+ T cell enhancer + p53 therapy),WO2021113644A1,WO2021113644A1,PCT/US2020/063355;US17/781536,,2019-12-05,2021-06-10,Multivir Inc.,Multivir Inc.,Robert E. Sobol,WO;US;EP;CN;JP;KR;AU,combination;immunotherapy;indication;regimen,p53 疗法联合免疫治疗（Multivir）,"combination of CD8+ T cell enhancer, immune checkpoint inhibitor and p53 tumor suppressor therapy (including small-molecule mutant p53 reactivators such as PC14586/APR-246); method of treating cancer",mutant p53; immune checkpoint; combination immunotherapy,public mirror;待官方核验,2026-08-07,Google Patents XHR via Jina mirror,low,low,https://patents.google.com/patent/WO2021113644A1/en,Multivir p53 联合免疫治疗族，权利要求点名 PC14586/APR-246 等再激活剂。
