family_id,family_definition,representative_document,representative_application,grants,earliest_priority,publication_date,applicant_or_assignee,inventors,jurisdictions,claim_theme,claim_categories,key_claim_elements,mutation_or_biomarker,official_status,status_as_of,status_source,status_confidence,source_url,relevance,notes
F11,Novo Nordisk GLP-1 derivatives (liraglutide-era) EP2190872,EP2190872B1,EP2190872B1; WO2008..,EP2190872B1,2007-09-05,2010-06-02,Novo Nordisk A/S,n/a,"EP,WO,US",peptide GLP-1 derivative,compound; peptide_sequence,Glucagon-like peptide-1 derivatives and pharmaceutical compositions (foundational acylated GLP-1 analog claims),n/a,granted(EP),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/EP2190872B1/en,high,Foundational Novo GLP-1 derivative family
F12,Sanofi dual GLP-1/GIP receptor agonists,US9789165B2,US9789165B2; US9751926B2; EP3080154B1; WO2015..,US9789165B2; US9751926B2; EP3080154B1,2013-12-18,2017-10-17,Sanofi,n/a,"US,EP,WO",dual GLP-1/GIP peptide agonist,compound; peptide_sequence; composition; method_of_treatment,Dual GLP-1/GIP receptor agonist peptide analogs (exendin-4 based) for diabetes/obesity,n/a,granted(US/EP),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US9789165B2/en,medium,Sanofi dual agonist peptide family
F13,Hengrui GLP-1/GIP receptor dual agonist pharma composition,HK40113396A,HK40113396A; CN2021..; WO2021..,none (HK publication),2021-06-09,2023-01-01,Jiangsu Hengrui Pharmaceuticals (江苏恒瑞医药),n/a,"CN,HK,WO",dual GLP-1/GIP peptide agonist; formulation,composition; formulation; method_of_treatment,Pharmaceutical composition of GLP-1 and GIP receptor dual agonist (HRS9531-class),n/a,pending,2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/HK40113396A/en,medium,Hengrui dual-agonist (HRS9531) formulation
F14,Hanmi GIP analog / long-acting triple conjugate,EP2718317B1,EP2718317B1; KR102285378B1; WO2014..,EP2718317B1; KR102285378B1,2011-06-10,2014-04-09,"Beijing Hanmi Pharmaceutical Co., Ltd.",n/a,"EP,KR,WO,CN",GIP analog; long-acting conjugate,compound; peptide_sequence; conjugate; composition,Glucose-dependent insulinotropic polypeptide (GIP) analogs; long-acting conjugate of trigonal glucagon/GLP-1/GIP receptor agonist (Hanmi LAPAS platform),n/a,granted(EP/KR),2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/EP2718317B1/en,medium,Hanmi GIP analog and LAPAS triple conjugate
F15,Chongqing Kangding GLP-1 small molecule cardiovascular benefit,CN113773310B,CN113773310B; CN2021..,CN113773310B,2020-06-10,2023-04-07,Chongqing Kangding Medical Technology (重庆康丁医药),n/a,CN,small-molecule GLP-1R agonist,compound; method_of_treatment,GLP-1 small molecule with cardiovascular benefit; method of use,n/a,granted(CN),2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/CN113773310B/en,low-medium,CN small-molecule GLP-1R with CV benefit
F16,Gasherbrum Bio heterocyclic GLP-1 agonists,EP4229050A1,EP4229050A1; WO2021..; TW202206429A; JP2023537501A,none yet,2020-10-13,2023-08-16,"Gasherbrum Bio, Inc.",n/a,"EP,WO,JP,TW,US",small-molecule GLP-1R agonist,compound; composition,Heterocyclic GLP-1 agonists (novel oral small-molecule scaffold),n/a,pending,2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/EP4229050A1/en,medium,Gasherbrum (Harvard spin-out) oral GLP-1
F17,Twist Bioscience anti-GLP1R antibodies,US12391762B2,US12391762B2; US12331427B2; JP7836295B2,US12391762B2; US12331427B2; JP7836295B2,2020-08-26,2025-08-19,Twist Bioscience Corporation,"Sato, ...","US,JP,WO",antibody; GLP1R modulator,antibody; composition; method_of_treatment,Antibody or antibody fragment binding GLP1R with defined VH/VL; as GLP1R agonist or antagonist,n/a,granted(US/JP),2026-08-07,Google Patents (E3),medium,https://patents.google.com/patent/US12391762B2/en,low-medium,Anti-GLP1R antibody (not small molecule/peptide)
F18,Amgen GLP-1R agonist metabolic disorder treatment,JP7574253B2,JP7574253B2; ES3009462T3; WO2016..,JP7574253B2; ES3009462T3,2015-05-08,2024-10-23,Amgen Inc.,n/a,"JP,ES,WO,US",peptide GLP-1R agonist; method_of_treatment,compound; method_of_treatment; combination,Method of treating or ameliorating metabolic disorders using GLP-1R agonist (incl. combos with GIPR-related agents),n/a,granted(JP/ES),2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/JP7574253B2/en,medium,Amgen metabolic GLP-1R use
F19,CMPD Licensing topical GLP-1R agonist administration,WO2025042974A1,WO2025042974A1; US20250221984A1; US20250195418A1; US20250221990A1,none yet,2023-09-01,2025-03-01,"CMPD Licensing, LLC",n/a,"WO,US",topical administration; delivery,method_of_treatment; formulation; delivery,Topical administration of GLP-1 receptor agonists to oral cavity / skin for systemic effect (novel delivery route),n/a,pending,2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/WO2025042974A1/en,low,Topical GLP-1 delivery (early-stage)
F20,Fujian Shengdi/Hengrui GIP+GLP1R pharma composition,HK40111760A,HK40111760A; CN2021..,none,2021-06-09,2023-01-01,Fujian Shengdi Pharmaceutical (福建盛迪医药),n/a,"CN,HK",combination; formulation,composition; formulation,Pharmaceutical composition of GLP-1 receptor and GIP receptor agonist (HRS9531-family formulation),n/a,pending,2026-08-07,Google Patents (E3),low,https://patents.google.com/patent/HK40111760A/en,low-medium,Hengrui/Shengdi dual agonist formulation
