"finding_id","conclusion_or_fact","evidence_type","source_url","document_no","claim_or_event_location","captured_at","direct_fact_or_inference","confidence","reviewer_action","family_ids","claim_ids"
"P53-EVI-012","Kartos navtemadlin/KRT-232 治疗方案族(CN120037232A, KR20210019422A, EA045240B1)；Otsuka WO2021133772A1 为 navtemadlin 伴随诊断生物标志物","E2","https://patents.google.com/patent/WO2019226559A1/en","WO2019226559A1;CN120037232A;KR20210019422A;EA045240B1","Claims; Info","2026-08-07","direct_fact","medium","回各国家局核验国家阶段状态","P53-FAM-004;P53-FAM-023","CL-P53-004-1;CL-P53-004-2;CL-P53-023-1"
"P53-EVI-013","Amgen AMG-232 联用疗法族(WO2015172117A1, AU2020201321B2 授权)；MDM2 抑制剂与其他抗肿瘤药联用方向","E2","https://patents.google.com/patent/WO2015172117A1/en","WO2015172117A1;AU2020201321B2","Claims; Info","2026-08-07","direct_fact","medium","回 AU/USPTO 核验授权","P53-FAM-007","CL-P53-007-1;CL-P53-007-2"
"P53-EVI-014","Daiichi Sankyo milademetan/DS-3032b 核心族 WO2012165504A1 覆盖 spiro-oxindole MDM2 拮抗剂；JP6052802B2 授权","E2","https://patents.google.com/patent/WO2012165504A1/en","WO2012165504A1;JP6052802B2","Claims; Info","2026-08-07","direct_fact","medium","回 JPO 核验授权","P53-FAM-005","CL-P53-005-1"
"P53-EVI-015","Genentech 4-羟吡咯烷 MDM2 拮抗剂族 WO2019084026A1/WO2019084030A1 代表新一代骨架；优先权 2017-10-24","E2","https://patents.google.com/patent/WO2019084026A1/en","WO2019084026A1;WO2019084030A1","Claims; Info","2026-08-07","direct_fact","medium","回 WO/EPO 核验族","P53-FAM-024","CL-P53-024-1"
"P53-EVI-016","Arvinas MDM2-based PROTAC 族(WO2017011680A1/US20220127279A1/US12577255B2)覆盖 MDM2 配体 + E3 连接酶配体双功能化合物；MDM2 蛋白降解新方向","E2","https://patents.google.com/patent/US20220127279A1/en","US20220127279A1;WO2017011680A1;US12577255B2","Claims; Info","2026-08-07","direct_fact","medium","回 USPTO 核验授权与继续申请","P53-FAM-018","CL-P53-018-1"
"P53-EVI-017","密歇根大学 MDM2 蛋白降解剂族 WO2017176957A1/WO2017176958A1(含单功能中间体)；Academic-to-company 转化背景","E2","https://patents.google.com/patent/WO2017176957A1/en","WO2017176957A1;WO2017176958A1","Claims; Info","2026-08-07","direct_fact","medium","回 WO/US 核验族成员","P53-FAM-019","CL-P53-019-1"
"P53-EVI-018","C4 Therapeutics 降解技术族(degronimer) WO2017197046A1 覆盖靶向蛋白降解通用技术，MDM2/p53 通路为应用方向之一","E2","https://patents.google.com/patent/WO2017197046A1/en","WO2017197046A1","Claims; Info","2026-08-07","direct_fact","medium","回 WO/EPO 核验族与范围","P53-FAM-021","CL-P53-021-1"
"P53-EVI-019","Neovacs p53 免疫原/疫苗族 US8101165B2 覆盖 p53 衍生免疫原用于 p53 表达恶性肿瘤；优先权 2000-08-09","E2","https://patents.google.com/patent/US8101165B2/en","US8101165B2","Claims; Info","2026-08-07","direct_fact","medium","回 USPTO 核验授权有效期","P53-FAM-020","CL-P53-020-1"
"P53-EVI-020","溶瘤腺病毒 p53 方向：UT/UC E1A/E1B 突变体溶瘤腺病毒 US10080774B2(优先权 2002-04-17)；杭州康万达 US11786552B2/US20240100106A1 为新一代溶瘤 p53 载体","E2","https://patents.google.com/patent/US10080774B2/en","US10080774B2;US11786552B2;US20240100106A1","Claims; Info","2026-08-07","direct_fact","medium","回 USPTO 核验授权与同族","P53-FAM-017","CL-P53-017-1"
"P53-EVI-021","Gendicine(今又生) Ad5CMV-p53 为全球首个获批 p53 基因治疗产品(中国 NMPA 2003)；核心族 CN101274096B 依据公开检索与领域知识整理，需 CNIPA 官方系统补检确认","E4","https://patents.google.com/patent/CN101274096B/en","CN101274096B","Info; family","2026-08-07","inference","low","回 CNIPA 检索系统补检深圳赛百诺族","P53-FAM-016","CL-P53-016-1"
"P53-EVI-022","Multivir p53 联合免疫治疗族 WO2021113644A1 权利要求点名 CD8+ T 细胞增强剂 + 免疫检查点抑制剂 + p53 肿瘤抑制治疗(含 PC14586/APR-246 等再激活剂)；优先权 2019-12-05","E2","https://patents.google.com/patent/WO2021113644A1/en","WO2021113644A1","Claims; Info","2026-08-07","direct_fact","medium","回 WO/US 核验族","P53-FAM-025","CL-P53-025-1"
"P53-EVI-023","COTI-2 核心族 US9284275B2/US8420643B2(Critical Outcome Technologies)覆盖 thiosemicarbazone/pyrimidine 类突变 p53 再激活化合物；优先权 2007-01-11","E2","https://patents.google.com/patent/US9284275B2/en","US9284275B2;US8420643B2","Claims; Info","2026-08-07","direct_fact","medium","回 USPTO 核验授权与期日","P53-FAM-012","CL-P53-012-1"
"P53-EVI-024","Aileron 稳定 p53 肽 US10202431B2 覆盖 MDM2/MDMX-p53 界面靶向的生物大分子方向；优先权 2007-01-31","E2","https://patents.google.com/patent/US10202431B2/en","US10202431B2","Claims; Info","2026-08-07","direct_fact","medium","回 USPTO 核验授权","P53-FAM-013","CL-P53-013-1"
"P53-EVI-025","Roche nutlin 类 MDM2 拮抗剂族代表公开文本 US20050239095A1(优先权 2003-01-21)为 MDM2-p53 界面小分子领域起点族；具体授权号需官方核验","E2","https://patents.google.com/patent/US20050239095A1/en","US20050239095A1","Claims; Info","2026-08-07","direct_fact","low","回 USPTO/EPO 核验 nutlin 族授权与有效期","P53-FAM-001","CL-P53-001-1;CL-P53-001-2"
"P53-EVI-026","本案例检索与专利页文本经 Jina Reader 只读镜像获取，原始 URL 为 Google Patents；镜像仅用于发现与文本提取，法律状态与权利要求最终范围须回官方登记簿复核","E3","https://r.jina.ai/http://patents.google.com/","","method note","2026-08-07","direct_fact","high","记录原始 URL、Jina URL、访问日期与文献号；关键结论回官方源复核","",""
