family_id,representative_document,relevance,review_priority,screen_score,feature_coverage,matched_features,partial_features,matched_feature_coverage,matched_terms,claim_categories,official_status_signal,status_source,source_url,notes
P53-FAM-002,WO2013102522A1,unknown,HIGH,0.7538,0.5238,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制)","F01: p53, TP53, MDM2, MDM2 antagonist, nutlin, cancer, AML, MDS; F02: p53, TP53, MDM2",compound; indication,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2013102522A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-004,US20210379052A1,unknown,HIGH,0.7538,0.5238,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制)","F01: p53, TP53, MDM2, MDM2 inhibitor, MDM2拮抗剂, cancer, AML; F02: p53, TP53, MDM2",compound; regimen,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2019226559A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-005,WO2012165504A1,unknown,HIGH,0.7538,0.5238,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制)","F01: p53, MDM2, MDM2 antagonist, MDM2拮抗剂, cancer; F02: p53, MDM2",compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2012165504A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-024,WO2019084026A1,unknown,HIGH,0.7538,0.5238,"F01, F02",,"F01=1.00 (靶点/机制, 机制词, 适应症); F02=0.50 (靶点/机制)","F01: p53, MDM2, MDM2 antagonist, MDM2拮抗剂, cancer; F02: p53, MDM2",compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2019084026A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-015,US9746471B2,unknown,MEDIUM,0.707,0.627,"F02, F03, F04",F01,"F01=0.33 (靶点/机制); F02=1.00 (靶点/机制, 突变/标志物); F03=1.00 (基因治疗); F04=0.50 (伴随诊断/分层)","F01: p53, TP53; F02: p53, TP53, p53 biomarker, p53生物标志物; F03: p53 gene therapy; F04: p53 biomarker, biomarker profile, patient selection, response prediction, biomarker, 生物标志物",biomarker,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US9746471B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-018,US20220127279A1,unknown,HIGH,0.6745,0.4445,"F01, F02, F05",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F05=1.00 (蛋白降解)","F01: p53, MDM2, cancer; F02: p53, MDM2; F05: PROTAC, MDM2-based PROTAC, degrader, protein degradation, 蛋白降解",degrader,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US20220127279A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-019,WO2017176957A1,unknown,HIGH,0.6745,0.4445,"F01, F02, F05",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F05=1.00 (蛋白降解)","F01: p53, TP53, MDM2, cancer; F02: p53, TP53, MDM2; F05: PROTAC, degrader, protein degradation, 蛋白降解, 降解剂",degrader,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2017176957A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-021,WO2017197046A1,unknown,HIGH,0.6745,0.4445,"F01, F02, F05",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制); F05=1.00 (蛋白降解)","F01: p53, MDM2, cancer; F02: p53, MDM2; F05: targeted protein degradation, degronimer, degrader, protein degradation, 蛋白降解",degrader,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/WO2017197046A1/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-020,US8101165B2,unknown,HIGH,0.6268,0.3968,"F01, F02",,"F01=0.67 (靶点/机制, 适应症); F02=0.50 (靶点/机制)","F01: p53, tumor, 癌症; F02: p53",vaccine,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US8101165B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
P53-FAM-013,US10202431B2,unknown,MEDIUM,0.3498,0.2698,F02,F01,F01=0.33 (靶点/机制); F02=0.50 (靶点/机制),"F01: p53, MDM2, MDMX; F02: p53, MDM2, MDMX",compound,public mirror;待官方核验,Google Patents XHR via Jina mirror,https://patents.google.com/patent/US10202431B2/en,关键词/要素初筛，不等于权利要求覆盖；需核对完整独立权利要求、法域成员和官方状态。
