family_id,document,claim_category,element,coverage,claim_location,evidence_url,confidence,notes
TFR-FAM-010,US11918647B2,mechanism,binds human TfR-1 apical domain (aa 215-380) without blocking transferrin binding; does not substantially bind TfR-2; pH-dependent reversible binding; induces endocytosis; mouse cross-reactive,明确披露,claims,https://patents.google.com/patent/US11918647B2/en,high,Functional selectivity is claimed.
TFR-FAM-010,US11918647B2,conjugate,TfR-specific binding moiety (VNAR) operably linked to a heterologous molecule; VNAR-Fc fusions and TfR1/BACE1 bispecifics,明确披露,claims/description,https://patents.google.com/patent/US11918647B2/en,high,Conjugate and bispecific embodiments.
TFR-FAM-010,US11918647B2,use,method of delivering a therapeutic/diagnostic molecule across the BBB or to the GI tract via the VNAR moiety,可能覆盖,claims/description,https://patents.google.com/patent/US11918647B2/en,medium,BBB and GI delivery uses disclosed.
TFR-FAM-013,US11839660B2,composition,humanized anti-TfR1 antibody (3M12/3A4/5H12 variants; Fab or full IgG) binding epitope residues 258-291 and/or 358-381; KD 1e-11 to 1e-6 M; cross-reactive human+NHP; no TfR2 binding; no transferrin-binding inhibition,明确披露,independent-claim set,https://patents.google.com/patent/US11839660B2/en,high,Antibody composition and epitope/functional limitations.
TFR-FAM-013,US11839660B2,conjugate,"complex of the anti-TfR1 antibody covalently linked to a molecular payload (DMPK/DMD-targeting oligonucleotide, small molecule, peptide) via cleavable linker (e.g., valine-citrulline)",明确披露,claims,https://patents.google.com/patent/US11839660B2/en,high,Payload conjugation is core.
TFR-FAM-013,US11839660B2,method-of-treatment,"method of delivering payload to muscle or brain / treating muscle disease (DM1, DMD, FSHD) or neurological disease by IV administration",明确披露,claims/description,https://patents.google.com/patent/US11839660B2/en,high,Muscle/brain delivery use is explicit.
TFR-FAM-013,US11795234B2,composition,muscle-targeting complex: anti-TfR antibody covalently linked via cleavable/non-cleavable linker to oligonucleotide (DUX4-targeting ASO gapmer/RNAi/PMO/guide RNA),明确披露,claims,https://patents.google.com/patent/US11795234B2/en,high,FSHD DUX4-targeting complex claims.
TFR-FAM-013,US11795234B2,indication,treatment of facioscapulohumeral muscular dystrophy (FSHD) with D4Z4 repeat deletions by delivering DUX4-inhibiting payload to muscle,明确披露,claims/description,https://patents.google.com/patent/US11795234B2/en,high,FSHD indication explicit.
TFR-FAM-021,EP3583120B1,composition,engineered transferrin-receptor-binding polypeptides (engineered Fc/transport-vehicle antibody) for brain delivery,明确披露,independent-claim set,https://patents.google.com/patent/EP3583120B1/en,medium,Denali TV platform; exact Fc-engineered sequence claims need full text.
TFR-FAM-021,EP3583120B1,use,use of TfR-binding transport vehicle to deliver therapeutic proteins/enzymes across the BBB (ERT fusion branches),可能覆盖,claims/description,https://patents.google.com/patent/EP3583120B1/en,medium,Enzyme-replacement and progranulin fusion branches disclosed.
TFR-FAM-015,US20240115724A1,conjugate,anti-CD71 activatable (probody) antibody conjugated to a drug; active anti-CD71 binding form at tumor,明确披露,claims/abstract,https://patents.google.com/patent/US20240115724A1/en,medium,Activatable ADC claims; national claim scope to verify.
TFR-FAM-016,US20220306759A1,composition,anti-CD71 antibodies and activatable (masked) anti-CD71 antibodies,明确披露,claims/abstract,https://patents.google.com/patent/US20220306759A1/en,medium,Activatable antibody platform.
TFR-FAM-018,EP4015003B1,conjugate,anti-transferrin-receptor / anti-CD71 antibody-oligonucleotide conjugate with saponin endosomal-escape enhancer,明确披露,claims/abstract,https://patents.google.com/patent/EP4015003B1/en,medium,Sapreme AOC; independent-claim scope to verify.
TFR-FAM-019,CA2992509C,composition,anti-TfR antibodies for treating proliferative and inflammatory disorders,可能覆盖,claims/abstract,https://patents.google.com/patent/CA2992509C/en,medium,Inatherys antibody claims; sequence detail not extracted in this screen.
TFR-FAM-023,US8821943B2,formulation,transferrin-receptor-targeted liposomes/nanoparticles carrying therapeutic agents,明确披露,claims/abstract,https://patents.google.com/patent/US8821943B2/en,medium,Boundary: ligand/transferrin-targeted delivery.
TFR-FAM-024,US10597381B2,mechanism,small-molecule modulators of ferroptosis referencing TfR1/transferrin iron-import pathway,可能覆盖,claims/abstract,https://patents.google.com/patent/US10597381B2/en,low,"Boundary mechanism family; TfR1 is context, not targeting moiety."
TFR-FAM-015,US20240115724A1,conjugate,anti-CD71 activatable antibody-drug conjugate Formula (I)/(II): AB(anti-CD71 VH/VL SEQ defined) + masking moiety SEQ ID NO:18 + cleavable protease-substrate SEQ ID NO:156 + vcMMAE payload; DAR ~2,明确披露,claims,https://patents.google.com/patent/US20240115724A1/en,high,US application shown Abandoned 2026-08-06; verify continuations/granted members.
TFR-FAM-015,US20240115724A1,indication,"cancer indications: gastric, ovarian, esophageal, NSCLC, ER+ breast, TNBC, CRC, melanoma, prostate, multiple myeloma, DLBCL, pancreatic, mesothelioma, NHL, HCC, glioblastoma",明确披露,claims/description,https://patents.google.com/patent/US20240115724A1/en,medium,Indication list disclosed; coverage to confirm per claim set.
TFR-FAM-016,US20220306759A1,composition,"anti-CD71 antibody with CDR-defined sequences (VH CDR1 GYTFTSYWMH, CDR2 AIYPGNSETG, CDR3 ENWDPGFAF; VL CDR1 SASSSVYYMY/CRASSSVYYMY, CDR2 STSNLAS, CDR3 QQRRNYPYT); activatable (masked) and multispecific formats",明确披露,claims,https://patents.google.com/patent/US20220306759A1/en,high,US application shown Abandoned 2026-08-06; verify other members.
TFR-FAM-021,EP3583120B1,composition,"engineered Fc CH3 domain with non-native TfR1-binding site; substitution sets (positions 153,157,159,160,161,162,163,164,165,186,187,188,189,194,197,199 or 118-122/210-213 re SEQ ID NO:1); binds TfR1 apical domain without inhibiting transferrin binding; epitope comprising aa208",明确披露,independent-claim set,https://patents.google.com/patent/EP3583120B1/en,high,Denali TV platform; sequence-defined CH3 claims.
TFR-FAM-021,EP3583120B1,use,transcytosis of composition across BBB endothelium; fusion with Fab binding Tau/BACE1/TREM2/alpha-synuclein for CNS disease delivery,明确披露,claims/description,https://patents.google.com/patent/EP3583120B1/en,high,BBB transcytosis use and CNS-target Fab fusions.
TFR-FAM-018,EP4015003B1,conjugate,antibody-oligonucleotide conjugate comprising saponin/endosomal-escape enhancer for cytosolic delivery,明确披露,claims,https://patents.google.com/patent/EP4015003B1/en,medium,Sapreme AOC; independent-claim scope to verify in full text.
